ch_i,ch_j,idx_i,idx_j,raw,pruned,diff
AF4,T5,5,40,1,0,-1
FP2,F6,4,14,1,0,-1
FP2,FC1,4,19,1,0,-1
C6,PO3,30,50,1,0,-1
C6,PO4,30,53,1,0,-1
C6,PO8,30,54,1,0,-1
C2,CP3,28,34,1,0,-1
C2,T5,28,40,1,0,-1
C2,P5,28,41,1,0,-1
C2,P2,28,44,1,0,-1
C6,AFz,30,56,1,0,-1
T4,TP7,31,32,1,0,-1
T4,CP4,31,37,1,0,-1
T4,P3,31,42,1,0,-1
T4,FPz,31,48,1,0,-1
T4,PO4,31,53,1,0,-1
T4,PO8,31,54,1,0,-1
TP7,CP5,32,33,1,0,-1
TP7,CP3,32,34,1,0,-1
TP7,CP1,32,35,1,0,-1
TP7,T5,32,40,1,0,-1
C4,CP4,29,37,1,0,-1
C4,T5,29,40,1,0,-1
C4,PO7,29,49,1,0,-1
C4,PO3,29,50,1,0,-1
C4,PO4,29,53,1,0,-1
TP7,P6,32,46,1,0,-1
TP7,PO7,32,49,1,0,-1
TP7,PO4,32,53,1,0,-1
TP7,Fz,32,57,1,0,-1
FP2,FT8,4,23,1,0,-1
FP2,C3,4,26,1,0,-1
FP2,CP6,4,38,1,0,-1
FP2,P6,4,46,1,0,-1
Fp1,C3,3,26,1,0,-1
Fp1,TP7,3,32,1,0,-1
Fp1,CP2,3,36,1,0,-1
TP7,FCz,32,58,1,0,-1
TP7,Cz,32,59,1,0,-1
CP5,CP1,33,35,1,0,-1
CP5,P4,33,45,1,0,-1
CP5,Fz,33,57,1,1,0
CP2,PO7,36,49,1,0,-1
CP5,FCz,33,58,1,0,-1
CP5,Cz,33,59,1,0,-1
CP3,CP4,34,37,1,0,-1
CP3,P1,34,43,1,0,-1
CP3,P2,34,44,1,0,-1
CP3,P4,34,45,1,0,-1
CP3,P6,34,46,1,0,-1
CP3,O1,34,51,1,0,-1
CP3,O2,34,52,1,0,-1
CP3,PO4,34,53,1,0,-1
CP3,PO8,34,54,1,0,-1
CP3,Cz,34,59,1,0,-1
CP1,CP6,35,38,1,1,0
CP1,TP8,35,39,1,0,-1
TP7,P5,32,41,1,0,-1
CP1,Cz,35,59,1,0,-1
CP2,CP4,36,37,1,0,-1
CP2,TP8,36,39,1,0,-1
CP2,P3,36,42,1,0,-1
Fp1,P1,3,43,1,0,-1
Fp1,P4,3,45,1,0,-1
Fp1,O1,3,51,1,0,-1
Fp1,O2,3,52,1,1,0
Fp1,PO4,3,53,1,0,-1
Fp1,PO8,3,54,1,0,-1
