,AF7,AF3,Fp1,FP2,AF4,AF8,F7,F5,F3,F1,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FC2,FC4,FC6,FT8,T3,C5,C3,C1,C2,C4,C6,T4,TP7,CP5,CP3,CP1,CP2,CP4,CP6,TP8,T5,P5,P3,P1,P2,P4,P6,T6,FPz,PO7,PO3,O1,O2,PO4,PO8,Oz,AFz,Fz,FCz,Cz,CPz,Pz,POz
F4,0.12141071615439591,0.09382749008583449,0.09985119107592944,0.06069644869675305,0.03507864195761639,0.05275594108613933,0.14089464206774663,0.12670314984198686,0.10767710675895498,0.08451901313265435,0.02969292808360588,0.0,0.02967354179806682,0.05821432809186884,0.15747699625295244,0.1437848556009478,0.1244851018724323,0.10069336959904601,0.04855177416501167,0.03518857977937572,0.04830230528956237,0.07386938029183902,0.17058473754250308,0.15859255783135076,0.14135052738055456,0.1202646845010628,0.0784239668476491,0.0691688801067736,0.0755503910886903,0.09361457877610618,0.1798308887636231,0.1701469539329985,0.15621316931972598,0.1395403293425108,0.10811541406604981,0.10071544113726429,0.10300124004428139,0.1140690305627525,0.1849339109292857,0.17776865250342636,0.1677881948879447,0.1561458483118138,0.1345704694771674,0.1287144174847206,0.12816530796450565,0.13324026909389794,0.07747639105557502,0.1857535855822407,0.1752549476819716,0.18224686474606622,0.16409253980517646,0.15212340263320226,0.1501835335083643,0.17450921039584225,0.05967813861964921,0.05818925193631526,0.07418429091913523,0.09787144623233532,0.122381335173237,0.14443627501272685,0.16216859091549868
F6,0.12991922989422983,0.10854411106405919,0.10697874084189078,0.05667827392664995,0.04318070931958029,0.03496295187858713,0.14978737206513662,0.14093825640977828,0.12672881885484588,0.1076632817992538,0.0582545148111798,0.02967354179806682,0.0,0.029686427854041766,0.16602582507664965,0.15835895540737285,0.14429448990033092,0.12454091172295824,0.07293672333793637,0.0463583650956492,0.03254759110803545,0.04727640900953667,0.1782339967656736,0.1720033654666357,0.15941329363271473,0.14126826533130812,0.09522335993358466,0.07425402176305408,0.06420926833549369,0.07167482762916363,0.18611526947757584,0.18122386831757187,0.17081211336397234,0.15577649647242803,0.11863706071578582,0.10248963560038848,0.09393717932460036,0.0965641368854532,0.1894698556119664,0.18560915144167986,0.1777520259888819,0.16662609247532642,0.13984587949410338,0.12815682786773774,0.12077061817262584,0.11982382176385278,0.08161598443643597,0.1882063436999473,0.17982968573069613,0.1823520165399587,0.15817223883878792,0.1497393874737715,0.14061508671777243,0.17205043020561914,0.07719938369160807,0.08454005107790317,0.10020487491446388,0.11909400258423437,0.13758472826353207,0.15343769861522297,0.16520322467714058
F8,0.13365302833127876,0.11966567765290605,0.11119158617150939,0.058603885968595774,0.05968903990163463,0.029692801920682226,0.15290187020136406,0.14973901209477983,0.14089679091156518,0.12666152946803214,0.0845799017096088,0.05821432809186884,0.029686427854041766,0.0,0.168402122849614,0.16715415674318487,0.15904971978076793,0.14446513855723392,0.09907828135697823,0.0710196428946914,0.043454760652407685,0.02974438977342429,0.17979771587567003,0.17986387086985695,0.17293309839437096,0.15938304141203088,0.11657367237686894,0.09122524967949332,0.068792490615348,0.0586683339219656,0.18680682228352974,0.1873921397751515,0.18171043385981953,0.17018135684619257,0.13381725111139456,0.11298112748345983,0.0952048382329776,0.08623887489794776,0.18926143426306533,0.18947792436905259,0.1849558519579553,0.1760359979279716,0.14862901729758676,0.13324026909389794,0.11983378055318951,0.1115963665432562,0.08612141725375307,0.18707913574308607,0.18252887919242902,0.18032374492300662,0.15357595062999618,0.1502003760042317,0.13425398291276097,0.169163487460281,0.09369465013242761,0.10763881359498191,0.12413108345263256,0.14014160022785033,0.153696348792354,0.16351763747067213,0.16879650899619164
FT7,0.05865133411444794,0.0847509869673846,0.086174169227986,0.13388608529500712,0.14082485534713296,0.15297659539454875,0.0296692990601832,0.0472216781360083,0.07380294498156835,0.10025890438205166,0.14323097329168255,0.15747699625295244,0.16602582507664965,0.168402122849614,0.0,0.03692738677131185,0.07232796028563446,0.10464043186287794,0.1547490411964917,0.17042944320777337,0.17887858487582958,0.17973984261638623,0.029654316925371613,0.04869328181659432,0.08104803264912117,0.11297345795840517,0.16325679996700126,0.1787418378086265,0.1866730857976171,0.18666704004480122,0.058578279701955734,0.07162676078219805,0.09635311429580473,0.12327290110701788,0.16791364179415577,0.18193369434882622,0.18911347306012996,0.1890457542955206,0.08609021247874916,0.09647412026355764,0.11393932531672929,0.1337833586744625,0.1683890116163635,0.17983293067755785,0.18611432331297445,0.18680811909853084,0.11157068973488245,0.11151435071691004,0.1309771109893645,0.13417575419665967,0.1688339281287982,0.17263655375043205,0.18000273345653117,0.15354487871663058,0.11636788817156557,0.1238439914060905,0.1325143785801698,0.14091492234896763,0.14789113046586957,0.15261353801387462,0.15456248379612259
FC5,0.06328375831670247,0.07295334311487982,0.08665288153761225,0.13215393289328725,0.13159129706196895,0.15143497991299776,0.043414721907936604,0.0325705654158048,0.048227020681060856,0.0741672806479305,0.12417173967823099,0.1437848556009478,0.15835895540737285,0.16715415674318487,0.03692738677131185,0.0,0.03696681773383075,0.07234598290856492,0.13250925308982842,0.15475308557640083,0.1704347560757713,0.17887858487582958,0.04980535826801979,0.03263880565030248,0.050822843549336943,0.08235122282931286,0.14126206397415006,0.16324396995592075,0.17849322848110016,0.18624556070924997,0.07162151185194779,0.06429614500200803,0.07625186779354755,0.09947191249789425,0.14906542388564836,0.16851512772968938,0.18215822194996642,0.18911534520608583,0.09514631913222818,0.09395807947657145,0.10293653747034004,0.11879325711057846,0.15499305342671515,0.1701473390596409,0.181221926251735,0.1873923537929351,0.10977865169849005,0.11780196137630393,0.12754109952545944,0.1382653972598029,0.1705151276440033,0.16810801557431715,0.18113269513999106,0.1557702052597517,0.10237840557137638,0.10047526863651171,0.10465446572587674,0.11365696196913522,0.12523849741197693,0.13720174254364764,0.14777808667516337
FC3,0.07847083733387859,0.06903589401635803,0.09196349812442857,0.1272676338624977,0.11870203569743043,0.1444680829911934,0.07101050482655816,0.04644156495147467,0.03514384127489854,0.04931089998385975,0.10068879304175461,0.1244851018724323,0.14429448990033092,0.15904971978076793,0.07232796028563446,0.03696681773383075,0.0,0.03694855922553878,0.10462546155687288,0.1324962842204037,0.15475308557640083,0.17042944320777337,0.08179578358219058,0.051318288506024434,0.03521494618281978,0.05248099652172335,0.1140079437687076,0.14123888992739275,0.1630131834330808,0.17812411818971477,0.09635585816979861,0.07626000314727693,0.06918800601257337,0.07988323506414331,0.12634658959467202,0.14947590271774897,0.16851487350636074,0.18193878112146677,0.11294552762025654,0.10254693864695164,0.10067629736652728,0.10816098544343657,0.13927841498210466,0.1562153164416498,0.17081211336397234,0.1817112426659601,0.10822296720949784,0.12954733800570087,0.12862599418496248,0.1447447620512988,0.16938855359650368,0.1608367848224778,0.17748297615908581,0.15765825918661902,0.0885147097373153,0.07455155671612898,0.07232597478424106,0.08311104501043158,0.10160643314212399,0.12227970591095247,0.14162466270612065
FC1,0.09763144278187005,0.07487190535789869,0.10053589339999762,0.11971493498689031,0.10341548631489582,0.13251568552205686,0.09908693440072891,0.0730219955044683,0.048570893322465385,0.03692082101569843,0.07460093462483962,0.10069336959904601,0.12454091172295824,0.14446513855723392,0.10464043186287794,0.07234598290856492,0.03694855922553878,0.0,0.07231365946238417,0.10462546155687288,0.13250925308982842,0.1547490411964917,0.1131347611918675,0.08254825771023425,0.052646628085552497,0.03696150144374492,0.08342810529164076,0.11393792927416722,0.1409964964031608,0.16267910985953835,0.12327473466750849,0.09947713416739419,0.0798832350641433,0.07250006908073715,0.10240108826272498,0.12634500004484606,0.14906474712611886,0.16792440782730636,0.13379531271001818,0.1187043311440455,0.10810035563944007,0.10523015672172888,0.12356650114337432,0.13954070608243957,0.15577649647242803,0.17018073902485012,0.10715988558180096,0.14375232632466603,0.1339692226633534,0.1523128508371132,0.1656028862827246,0.15177779276378242,0.16940421020763372,0.15892077055890025,0.07776032574974581,0.049919363898308186,0.0369429212705819,0.05334640795894913,0.08186074872486654,0.11106599259448292,0.1373096968834977
FC2,0.13254075306813543,0.10341548631489582,0.11971493498689031,0.10053589339999762,0.07487190535789869,0.097630984704646,0.14449337665827208,0.12459958518437113,0.1007487057907337,0.0746503536371429,0.03685816835166115,0.04855177416501167,0.07293672333793637,0.09907828135697823,0.1547490411964917,0.13250925308982842,0.10462546155687288,0.07231365946238417,0.0,0.03694855922553878,0.07234598290856492,0.10464043186287794,0.16267910985953835,0.1409964964031608,0.11394231214076733,0.0833600438098225,0.03696037132465609,0.052642628193397434,0.08254825771023425,0.1131347611918675,0.1679120419825921,0.14906474712611886,0.12634500004484606,0.10240108826272498,0.07250006908073715,0.0798832350641433,0.09947713416739419,0.1233094273400888,0.1701789614695395,0.15582939626623943,0.1395612553789651,0.12362203312111879,0.10517800190551033,0.10811679514083417,0.11864403019795944,0.1338185001118282,0.10715988558180096,0.16940925695361095,0.15177779276378242,0.1656028862827246,0.1523128508371132,0.1339692226633534,0.14376648064279932,0.15892077055890025,0.07776032574974581,0.049919363898308186,0.0369429212705819,0.05334640795894913,0.08186074872486654,0.11106599259448292,0.1373096968834977
FC4,0.14449925324415314,0.11870203569743043,0.1272676338624977,0.09196349812442857,0.06903589401635803,0.07848996909233634,0.1590827587314113,0.1443350265051758,0.12454081987297089,0.10071965391536865,0.04929902757334208,0.03518857977937572,0.0463583650956492,0.0710196428946914,0.17042944320777337,0.15475308557640083,0.1324962842204037,0.10462546155687288,0.03694855922553878,0.0,0.03696681773383075,0.07232796028563446,0.17812411818971477,0.1630131834330808,0.1412426051229203,0.11394387202161839,0.05242049066426999,0.03521507215844822,0.051318288506024434,0.08179578358219058,0.18193290961448474,0.16851487350636074,0.14947590271774897,0.12634658959467202,0.07988323506414331,0.06918800601257337,0.07626000314727693,0.09640878062787277,0.1817161278999189,0.1708515696190142,0.15624319352723248,0.13932248022960048,0.10812754713793328,0.10071756398355204,0.10250059843100168,0.11298308646503885,0.10822296720949784,0.17749412527659333,0.1608367848224778,0.16938855359650368,0.1447447620512988,0.12862599418496248,0.12957293169607803,0.15765825918661902,0.0885147097373153,0.07455155671612898,0.07232597478424106,0.08311104501043158,0.10160643314212399,0.12227970591095245,0.14162466270612065
FC6,0.15146861031451728,0.13159129706196895,0.13215393289328725,0.08665288153761225,0.07295334311487982,0.06332532155487106,0.16718918582657236,0.15837983864076058,0.1438357162731901,0.12418593547868685,0.0741872585001495,0.04830230528956237,0.03254759110803545,0.043454760652407685,0.17887858487582958,0.1704347560757713,0.15475308557640083,0.13250925308982842,0.07234598290856492,0.03696681773383075,0.0,0.03692738677131185,0.18624556070924997,0.17849322848110016,0.16324678883337326,0.14120762374751328,0.08228091974185517,0.050827182474253774,0.03263880565030248,0.04980535826801979,0.18911347306012993,0.18215822194996642,0.16851512772968938,0.14906542388564836,0.09947191249789425,0.07625186779354755,0.06429614500200803,0.07169883885563848,0.18740120856230533,0.18124473957143836,0.17017622181868108,0.15502259141491614,0.11878202454838332,0.10299512777339237,0.09394131004935993,0.0951982273326552,0.10977865169849005,0.18114716241968928,0.16810801557431715,0.1705151276440033,0.1382653972598029,0.12754109952545944,0.11783752623441224,0.1557702052597517,0.10237840557137638,0.10047526863651171,0.10465446572587674,0.11365696196913522,0.12523849741197693,0.13720174254364761,0.14777808667516337
FT8,0.15300922241707612,0.14082485534713296,0.13388608529500712,0.086174169227986,0.0847509869673846,0.05870509432060161,0.16843643536824685,0.16602650560941737,0.15751915713478237,0.14323015523645813,0.10029419718337895,0.07386938029183902,0.04727640900953667,0.02974438977342429,0.17973984261638623,0.17887858487582958,0.17042944320777337,0.1547490411964917,0.10464043186287794,0.07232796028563446,0.03692738677131185,0.0,0.18666704004480122,0.1866730857976171,0.17874360985141827,0.16321532002165898,0.11290757688638713,0.08105298163981631,0.04869328181659432,0.029654316925371613,0.1890454797206978,0.18911347306012996,0.18193369434882622,0.16791364179415577,0.12327290110701788,0.09635311429580473,0.07162676078219805,0.05867247655721111,0.18681820299292268,0.18611898032508323,0.17985769563512316,0.16840355142179328,0.13379063149273607,0.11400154648269219,0.0964931081335735,0.08614915468555898,0.11157068973488245,0.18001758302568624,0.17263655375043205,0.1688339281287982,0.13417575419665967,0.1309771109893645,0.11155478318016498,0.15354487871663056,0.11636788817156557,0.1238439914060905,0.1325143785801698,0.14091492234896763,0.14789113046586957,0.1526135380138746,0.15456248379612256
T3,0.0861376875466178,0.10891011522180812,0.11154500745879355,0.15323475047834448,0.1586183786522378,0.16854840612666627,0.0585960218496105,0.07164256120180042,0.09354721811888278,0.11726642451437576,0.15731881886179236,0.17058473754250308,0.1782339967656736,0.17979771587567003,0.029654316925371613,0.04980535826801979,0.08179578358219058,0.1131347611918675,0.16267910985953835,0.17812411818971477,0.18624556070924997,0.18666704004480122,0.0,0.039487651547430676,0.07723179124913694,0.11167678340003827,0.16454383187234756,0.1806868991016178,0.18895124200627492,0.18896870517055048,0.02965105923500691,0.04980748707773776,0.08179229630537121,0.11313211924125682,0.1626809471653478,0.178125719529164,0.18624499141482895,0.1866523089647577,0.05860072777450057,0.07164951206799246,0.09354381653784666,0.11726924946496173,0.157316714463997,0.1705866039787767,0.17823120324805697,0.17979925117319012,0.13420331807584723,0.08614062707353914,0.10891140394359967,0.11153966817950146,0.15323863698672577,0.1586174937859197,0.16854990902225941,0.13420331807584723,0.13690033110620678,0.1391539970299714,0.14064654222493086,0.14116689163402601,0.14064654222493086,0.1391539970299714,0.13690033110620678
C5,0.09166823455698195,0.10160274070505387,0.11417334460927239,0.15359069530634584,0.15178389189492392,0.16873378172764097,0.06873521577808853,0.06422950068453212,0.07548277633621718,0.09601629185772993,0.14046426717208446,0.15859255783135076,0.1720033654666357,0.17986387086985695,0.04869328181659432,0.03263880565030248,0.051318288506024434,0.08254825771023425,0.1409964964031608,0.1630131834330808,0.17849322848110016,0.1866730857976171,0.039487651547430676,0.0,0.03946721588519104,0.0772917767880569,0.14120683593003863,0.16453039967591776,0.18068228387429078,0.18895124200627492,0.048691384940470706,0.032641911589548885,0.051312973740711754,0.08254479558663416,0.14099852329199256,0.16301485648265263,0.17849266050923362,0.1866583833275384,0.06873905165646285,0.06423691373874241,0.07547874551795682,0.09601959071149717,0.1404620136131458,0.1585944773660454,0.1720005976915801,0.1798653383037641,0.13478625240533676,0.09167087561913365,0.10160406153649255,0.11416835699535159,0.15359440277867029,0.15178300773418937,0.16873521714169482,0.1347862524053368,0.1264663082594302,0.1189296423276543,0.11359041798486078,0.11165505134034381,0.11359041798486079,0.11892964232765431,0.12646630825943023
C3,0.10512562558918975,0.10059600178134301,0.12039194838073619,0.1508072061908008,0.14162191085103104,0.1635068122288299,0.09118907228203837,0.07431451304803015,0.06912484923029409,0.07882670981957776,0.12009836578182224,0.14135052738055456,0.15941329363271473,0.17293309839437096,0.08104803264912117,0.050822843549336943,0.03521494618281978,0.052646628085552497,0.11394231214076733,0.1412426051229203,0.16324678883337326,0.17874360985141827,0.07723179124913694,0.03946721588519104,0.0,0.039551874805243796,0.11172024082309345,0.1412028421275173,0.1645333848926409,0.18068874488047126,0.08104714201441232,0.05082440246423514,0.03520889299408329,0.0526423855209786,0.11394427230634809,0.14124411418073068,0.1632463034956743,0.17873093540860038,0.09119133196868245,0.07431952040630126,0.06912140932689788,0.07882985013704069,0.1200963059200798,0.14135221052554714,0.15941095972845942,0.1729342911865612,0.1352915481633678,0.10512742541959526,0.10059704436958626,0.1203882518234535,0.15081015714094756,0.14162117028040982,0.16350796989633395,0.1352915481633678,0.11662807564459346,0.0979875195566727,0.08316330228212133,0.077286323938558,0.08316330228212135,0.09798751955667272,0.11662807564459346
