subj,var_img,n_img,var_read,n_read,var_rest,n_rest
51,35.9935302734375,550,63.91362762451172,550.0,77.99568939208984,270.0
52,29.474365234375,550,201.0987091064453,550.0,300.8615417480469,270.0
53,23.063337326049805,550,24.133413314819336,550.0,41.364837646484375,270.0
54,22.465972900390625,550,59.2352294921875,550.0,107.50980377197266,270.0
55,85.24310302734375,550,758.0427856445312,550.0,931.2688598632812,270.0
56,14.10239028930664,550,230.61087036132812,550.0,267.64642333984375,270.0
57,56.45936965942383,550,46.40220642089844,550.0,70.01311492919922,270.0
58,19.103412628173828,550,,,,
59,29.7531795501709,550,45.62336730957031,550.0,33.42987823486328,270.0
60,10.507625579833984,550,49.01829147338867,550.0,65.15437316894531,270.0
61,27.724166870117188,550,27.527250289916992,550.0,32.318626403808594,270.0
62,23.790241241455078,550,24.21651840209961,550.0,58.48517990112305,270.0
63,45.413482666015625,550,177.73641967773438,550.0,200.88096618652344,270.0
64,27.77250099182129,550,83.62577819824219,550.0,83.75436401367188,270.0
65,27.670902252197266,550,3211.17333984375,550.0,7926.3271484375,270.0
66,12.56987476348877,550,810.6810913085938,550.0,2162.276123046875,270.0
67,39.94684982299805,550,138.5218505859375,550.0,78.35668182373047,270.0
68,14.316341400146484,550,48.382564544677734,550.0,66.28169250488281,270.0
69,40.15545654296875,550,41.20450210571289,550.0,51.06293487548828,270.0
70,24.036907196044922,550,3430.778076171875,550.0,3146.5732421875,270.0
71,28.914806365966797,550,32.42411804199219,550.0,42.97621154785156,270.0
72,31.730863571166992,550,75.0943832397461,550.0,97.1595230102539,270.0
73,31.63564109802246,110,30.54412269592285,110.0,32.008419036865234,54.0
74,31.319393157958984,550,38.49620056152344,550.0,41.876197814941406,270.0
75,46.33430862426758,550,43.817100524902344,550.0,46.641178131103516,270.0
76,214.000244140625,550,217.58309936523438,550.0,241.26678466796875,270.0
77,140.45379638671875,550,134.40280151367188,550.0,176.41322326660156,270.0
78,340.4930419921875,550,322.24267578125,550.0,408.08843994140625,270.0
79,38.2411003112793,550,36.26148986816406,550.0,35.37972640991211,270.0
80,2761.49072265625,550,2469.359130859375,550.0,5424.82958984375,270.0
81,35.309261322021484,550,31.940208435058594,550.0,39.26809310913086,270.0
82,38.85326385498047,550,39.3507080078125,550.0,54.30205154418945,270.0
83,53.27748489379883,550,45.81991958618164,550.0,64.45862579345703,270.0
84,176.1067657470703,550,173.8721466064453,550.0,1090.2059326171875,270.0
85,635.2357788085938,550,476.6732482910156,550.0,1272.4954833984375,270.0
86,118.06723022460938,550,122.30108642578125,550.0,127.75820922851562,270.0
87,20.456832885742188,550,20.522647857666016,550.0,20.613744735717773,270.0
88,242.8191375732422,524,217.2784881591797,524.0,137.98965454101562,216.0
89,28.554729461669922,550,24.654436111450195,550.0,126.81399536132812,270.0
90,428.31494140625,550,380.041259765625,550.0,454.372314453125,270.0
