Subject,within_consistency,fisher_ratio,alpha_power,trial_variance,cluster_func,bacc
P064,0.10342127829790115,2.341085973966983e-06,0.02237331122159958,1.0,0,0.2497
P065,0.11139117926359177,1.6631292965030298e-06,0.04053976386785507,1.0,0,0.2718
P066,0.11093759536743164,1.6348899407603312e-06,0.01997670903801918,1.0,0,0.2819
P067,0.11503058671951294,2.9739919682469917e-06,0.014557696878910065,1.0,0,0.1929
P068,0.11691775172948837,2.0946163203916512e-06,0.01983173005282879,1.0,0,0.2439
P069,0.08717438578605652,3.3666053695924347e-06,0.010807872749865055,1.0,0,0.209
P070,0.08679600059986115,1.2048492408212041e-06,0.04990774765610695,1.0,0,0.2901
P071,0.1198454424738884,2.197701633122051e-06,0.02098478004336357,1.0,0,0.224
P072,0.11140932142734528,1.6337426131940447e-06,0.03602153807878494,1.0,0,0.237
P073,0.19172348082065582,1.1450989404693246e-05,0.013118762522935867,1.0,1,
